Age,Gender,Marital_Status,Dependents,Education,Self_Employed,Work_Experience_Years,ApplicantIncome,CoapplicantIncome,Salary_Payment_Mode,Existing_EMI,Residential_Assets,Area,Loan_Purpose,LoanAmount,Loan_Amount_Term,Approved_Status,Approved_Bank,Hidden_CIBIL
30,1,0,2,2,0,2,56157,15622,2,10514,1,0,4,501974,12,1,2,716.07
49,1,0,1,1,0,25,61159,39714,0,3703,0,1,2,1770058,84,1,2,704.0
58,1,1,2,2,1,37,71851,34543,2,18513,1,2,2,1677119,84,1,2,745.93
51,1,1,2,1,0,22,67531,57829,2,675,1,0,0,764801,72,1,2,710.64
46,1,0,1,1,0,19,55839,35327,1,16177,1,2,2,2019663,24,1,2,711.94
54,1,1,0,1,0,31,49078,0,1,16800,0,0,3,1783041,84,1,2,708.04
49,1,1,0,1,0,30,58579,51673,2,10408,2,1,0,2103160,48,1,2,716.52
64,1,1,0,0,1,34,43008,0,1,3216,0,2,2,244769,72,1,2,714.66
45,1,1,0,1,0,11,58037,0,1,6738,0,1,3,1538000,24,1,2,726.29
43,0,1,1,1,0,16,72472,0,2,6581,0,0,1,1238622,84,1,2,747.88
57,0,1,2,1,1,35,60795,40758,2,7758,1,2,1,154168,84,1,2,739.95
54,0,1,1,0,0,35,58526,0,2,10646,0,1,3,2318521,18,1,2,708.77
59,0,1,0,1,0,37,64806,0,2,15639,1,2,2,1034737,84,1,2,705.59
59,1,0,1,1,1,33,45927,25344,1,1003,0,0,3,1837080,48,1,2,755.14
39,1,1,0,1,0,5,46750,38096,2,5949,2,1,3,1426692,60,1,2,724.21
41,1,1,0,1,1,22,63828,0,2,18802,0,1,2,1078230,60,1,2,701.36
35,0,0,0,1,0,15,68741,0,2,21106,2,1,1,747261,18,1,2,725.99
45,0,1,0,1,1,26,59275,0,1,11097,0,0,1,1598463,24,1,2,710.69
32,0,0,3,1,0,11,68002,31975,2,22849,1,1,1,1472084,48,1,2,737.04
63,1,1,1,2,0,26,60557,0,2,11491,0,0,1,2063265,18,1,2,724.41
49,1,1,2,1,0,20,65749,0,2,2388,1,0,3,1515827,72,1,2,707.68
56,0,1,0,1,1,36,64400,0,0,5858,1,2,1,2115935,18,1,2,766.82
63,1,1,0,0,0,34,52772,0,0,12052,1,2,0,1781784,12,1,2,744.08
52,0,0,0,2,0,26,56264,0,2,16035,1,2,2,1159546,24,1,2,737.21
54,1,1,0,0,0,24,50317,0,2,5951,1,2,4,1002453,84,1,2,710.43
49,0,0,1,1,1,28,61730,0,2,1286,1,1,4,985918,12,1,2,763.25
53,1,0,0,1,0,28,66457,52101,2,22354,2,2,0,420641,60,1,2,735.46
58,1,0,2,1,0,39,61380,0,0,12216,0,0,0,572202,72,1,2,719.23
48,1,1,1,2,0,23,72931,0,2,2697,0,2,2,2274891,72,1,2,739.89
53,0,0,1,1,1,29,52578,54795,2,12912,2,1,1,1281411,84,1,2,702.94
56,1,1,1,2,1,37,54493,55991,1,17381,1,0,4,1265740,36,1,2,706.78
60,1,1,1,1,0,28,59172,0,2,4596,1,0,0,126607,84,1,2,715.66
63,1,1,2,1,0,32,53130,52308,2,12800,2,2,3,1627307,60,1,2,702.12
56,1,1,1,2,1,37,67546,0,2,23521,1,2,3,1625886,24,1,2,727.44
62,0,1,2,1,1,37,48898,0,2,6859,1,2,2,560807,72,1,2,771.16
64,1,1,0,1,0,25,59434,0,2,16231,1,1,0,1197337,48,1,2,716.67
47,1,1,1,2,0,20,58762,0,0,7564,0,0,1,1966016,12,1,2,708.19
60,1,0,1,0,0,35,73579,0,1,22821,1,1,2,2184598,60,1,2,715.09
57,0,0,2,1,0,28,52282,18772,2,491,0,1,0,918056,12,1,2,730.32
63,0,1,2,0,0,34,53998,0,2,12489,1,1,3,526572,48,1,2,702.99
51,0,1,2,1,1,22,53717,55926,2,16937,1,2,2,1241054,84,1,2,700.4
48,1,0,1,0,1,26,50018,20692,0,4922,1,2,0,84668,36,1,2,770.06
64,0,1,1,2,1,38,60943,0,2,12536,0,2,4,773949,48,1,2,719.84
63,0,1,1,1,1,32,57737,35372,1,11449,0,0,1,2145925,12,1,2,703.98
37,1,1,0,0,1,17,74294,0,0,8496,0,0,3,1855166,84,1,2,718.56
63,1,1,0,1,0,41,63529,0,2,4487,1,2,2,1989109,18,1,2,776.62
48,1,1,1,1,0,26,55180,0,2,4684,0,2,1,1746322,24,1,2,721.59
36,1,1,0,1,1,15,49398,0,2,14128,2,1,3,1735920,24,1,2,708.97
53,1,1,0,1,0,24,52226,0,2,1027,0,0,1,825829,84,1,2,766.54
62,0,0,0,1,0,39,65389,0,2,19550,1,0,0,139371,72,1,2,771.53
62,1,1,1,1,0,31,67402,43095,2,2563,2,2,0,1152347,24,1,2,703.76
53,0,1,0,1,0,28,65718,0,2,13638,0,0,1,1575508,18,1,2,722.38
50,1,1,1,0,1,21,70026,11424,2,19804,2,1,5,2425983,18,1,2,711.02
43,0,0,1,0,0,24,51322,39598,2,9778,1,1,1,2052880,84,1,2,702.8
63,1,1,1,2,0,34,61973,36468,2,19727,2,2,3,310762,18,1,2,790.59
54,1,1,0,1,0,29,52820,0,2,1487,2,0,3,236999,72,1,2,750.06
64,1,1,1,1,0,29,64271,0,2,21246,0,0,2,1036326,48,1,2,769.29
53,1,1,1,1,1,27,63934,39351,1,7773,1,2,2,1562109,12,1,2,700.89
40,1,0,0,2,0,18,49991,0,2,1108,1,2,5,1999640,60,1,2,708.72
41,0,1,1,1,1,2,67290,57407,2,4587,0,2,4,1608640,36,1,2,709.99
48,1,1,1,1,0,25,63096,0,2,7964,2,1,2,1646901,12,1,2,722.38
63,1,1,0,1,0,24,58506,0,2,19015,1,0,1,2194039,48,1,2,726.07
63,0,1,2,1,0,20,63021,13686,2,5583,0,2,0,2280840,72,1,2,710.62
48,1,1,0,1,0,27,63755,0,0,19511,2,0,2,1836488,72,1,2,711.26
40,0,1,2,1,0,20,47540,48576,2,8135,1,0,1,1661600,84,1,2,706.58
64,1,0,1,1,0,33,51433,25196,2,3083,2,0,1,2057320,12,1,2,727.0
50,0,1,0,2,0,14,56166,12567,2,12278,0,2,2,1966826,84,1,2,705.68
49,1,0,0,1,0,24,59525,0,2,11293,0,1,2,1672968,48,1,2,717.02
57,1,1,1,1,0,27,74121,0,2,1790,1,1,0,1500393,24,1,2,720.85
60,0,0,0,2,0,29,73924,17028,2,14346,1,1,4,1120160,60,1,2,702.95
43,0,1,0,1,0,14,42013,0,1,2809,1,0,1,150528,24,1,2,728.16
42,1,0,0,1,0,19,61756,0,1,16962,0,0,3,1835323,48,1,2,702.3
44,0,1,2,1,1,23,53050,39811,2,8822,1,2,4,300283,72,1,2,747.29
64,0,1,0,2,0,29,53267,30243,2,13101,0,2,2,127501,60,1,2,725.74
49,0,0,0,1,0,26,49125,48281,1,8415,1,0,0,881452,84,1,2,713.65
62,0,1,1,1,0,26,50234,0,2,3660,0,2,1,1117040,48,1,2,714.46
42,0,1,1,2,1,22,68594,0,0,5627,0,0,2,2352083,60,1,2,717.14
37,1,0,0,1,0,16,48070,0,2,15508,1,0,3,900303,84,1,2,732.1
44,0,0,1,1,1,20,71288,18176,2,12947,0,2,4,2477384,72,1,2,731.64
57,1,0,0,1,0,20,53581,20103,0,2246,1,2,3,1903240,60,1,2,714.86
39,1,1,0,2,0,3,75864,55294,2,15436,0,1,1,2419528,84,1,2,711.57
63,1,0,3,1,0,15,69881,0,2,11390,1,2,0,1396813,72,1,2,706.63
47,1,1,0,1,0,27,69070,39200,2,7010,1,1,3,1266090,72,1,2,718.4
43,1,1,0,0,0,20,53811,0,2,13261,0,1,3,261075,48,1,2,738.97
63,0,0,3,1,1,21,48791,0,2,1270,1,0,1,159021,12,1,2,718.09
55,1,0,2,1,1,28,52235,37466,2,11260,1,1,0,1858324,60,1,2,712.02
62,0,0,0,1,0,22,69170,0,2,19247,2,2,4,1874110,72,1,2,715.42
54,1,0,0,0,0,35,63571,0,2,468,1,2,0,1333260,12,1,2,768.07
48,1,1,1,2,1,29,61817,0,2,21337,1,2,1,1622018,18,1,2,735.51
63,0,1,1,1,1,35,59373,0,2,2036,0,1,0,1113297,72,1,2,736.38
62,0,1,0,1,0,3,71708,11432,2,18222,2,1,2,2317998,72,1,2,737.17
48,1,0,1,2,1,18,47881,38571,2,10504,2,0,1,1915240,36,1,2,745.33
55,1,1,1,1,0,22,50836,59615,1,12460,0,2,0,1658188,36,1,2,709.62
40,1,0,0,2,0,18,66910,0,2,6357,1,2,1,1902625,18,1,2,730.82
62,0,1,0,1,1,32,67849,24191,0,20300,0,1,2,1537074,60,1,2,728.18
39,0,0,2,1,1,14,65159,0,2,7903,0,0,1,1936933,18,1,2,727.65
57,1,1,1,1,0,34,53539,28933,0,378,1,1,1,2141560,12,1,2,710.12
40,0,0,0,0,0,10,69256,0,2,2495,1,0,4,1177070,18,1,2,708.52
32,0,1,0,1,0,5,44612,19358,1,5786,1,1,0,1544480,18,1,2,735.33
54,1,0,0,1,0,25,62477,0,2,10865,1,0,3,914490,48,1,2,725.74
44,0,0,1,1,0,19,43775,0,2,7657,0,2,5,482240,12,1,2,738.81
51,0,1,0,0,0,15,52961,0,2,9802,1,2,0,2118440,18,1,2,723.58
48,0,0,1,1,1,27,67612,0,2,1575,0,0,0,214852,36,1,2,749.7
60,1,1,0,0,0,32,60666,0,0,18535,0,2,2,2160848,36,1,2,747.79
36,0,0,2,1,0,15,56748,0,0,1470,0,1,0,158871,18,1,2,723.46
27,0,1,0,1,0,2,32314,51330,2,10596,1,1,4,1292560,84,1,2,715.91
44,1,1,1,2,1,25,80601,59740,1,21030,1,2,4,600392,84,1,2,710.2
56,1,1,0,0,0,27,67474,0,1,801,0,1,2,709547,12,1,2,702.07
59,1,0,1,1,0,24,60955,50919,2,7586,0,1,1,1572958,36,1,2,704.36
60,1,0,0,1,0,31,45399,0,2,11137,1,1,2,1339161,12,1,2,768.37
50,0,1,0,1,0,28,68543,28560,2,17258,0,0,5,1215622,84,1,2,737.36
62,0,1,0,1,0,24,74404,0,2,6287,2,1,0,2159508,48,1,2,725.31
52,1,1,1,1,0,28,59109,58290,2,15217,1,0,2,1105436,36,1,2,747.23
55,0,1,1,1,0,34,63076,14131,2,18473,0,0,5,1733276,72,1,2,753.49
59,1,1,3,1,1,39,45586,0,2,14473,1,1,4,1823440,36,1,2,762.01
55,1,0,0,0,1,37,74606,50944,2,1918,1,1,0,1563154,24,1,2,733.87
44,1,0,2,1,0,18,65236,0,2,2509,1,1,3,2347651,48,1,2,733.62
62,0,1,2,1,1,34,52619,0,1,5898,1,2,0,1045748,24,1,2,723.21
53,0,1,1,1,0,12,63354,0,2,12047,1,1,5,1772280,18,1,2,711.05
56,1,1,1,1,0,37,63231,0,2,19748,0,1,4,1918642,60,1,2,750.42
44,1,1,1,1,0,23,53947,0,1,11100,0,1,1,1793855,48,1,2,749.11
43,0,1,0,1,0,18,67566,0,2,3609,1,2,4,1235142,36,1,2,729.97
34,0,0,0,1,1,14,47664,0,2,10797,1,1,3,1824260,84,1,2,732.92
54,1,0,0,1,0,28,63550,0,2,7931,1,1,3,2231132,24,1,2,705.92
50,1,0,1,2,0,4,50055,0,2,5137,1,1,2,1762200,18,1,2,705.04
47,0,0,1,0,0,4,48715,0,2,915,1,0,0,1708600,60,1,2,709.45
49,1,0,0,2,0,28,58229,26185,2,9761,1,1,2,2089160,60,1,2,729.02
51,1,1,0,0,1,27,57656,0,2,16602,0,1,2,2066240,72,1,2,758.71
53,1,1,0,1,0,34,51471,0,2,5306,1,2,3,1535677,72,1,2,743.19
52,1,0,0,2,0,30,65834,8400,2,8316,0,1,0,273115,60,1,2,747.36
36,0,0,1,1,0,8,67170,29224,2,8285,0,1,1,908478,72,1,2,722.24
59,0,0,2,2,0,23,79672,0,0,14277,2,2,2,288212,48,1,2,742.32
60,1,1,1,1,0,31,63482,58045,2,3257,0,2,1,1829000,36,1,2,700.48
64,1,1,0,1,1,32,60926,56573,2,2622,2,0,1,1705174,72,1,2,709.61
49,0,1,2,1,0,20,69789,0,2,11713,0,2,0,784076,72,1,2,705.13
51,1,1,0,1,0,12,45980,0,1,1901,0,1,0,157286,24,1,2,705.73
44,0,1,1,2,0,20,70223,0,2,2248,1,1,2,1253330,60,1,2,740.13
58,1,1,0,1,1,28,58885,46577,2,8270,1,0,5,1640949,36,1,2,705.6
52,1,1,1,1,0,27,55874,0,2,7914,1,2,1,144462,36,1,2,751.44
24,0,0,0,1,1,3,71929,0,2,14426,0,2,2,1124987,18,1,2,712.05
35,1,1,2,1,1,15,55081,0,2,3742,0,2,0,140017,60,1,2,707.49
57,1,0,1,1,0,30,64469,58509,2,4499,0,2,3,1592629,36,1,2,728.09
49,1,1,0,0,0,25,52734,30866,2,17007,0,1,2,1451818,84,1,2,750.92
52,1,0,1,2,1,34,71547,0,2,14316,0,2,1,818201,36,1,2,709.07
33,1,1,1,2,0,13,62309,49782,2,15251,2,0,0,1823068,12,1,2,769.17
48,1,1,0,1,1,13,60756,0,2,13965,1,2,3,1539377,18,1,2,724.8
44,0,0,0,2,0,20,62123,11903,1,10054,2,2,1,2475600,36,1,2,749.43
57,1,0,0,1,1,30,57502,0,2,2829,1,2,4,2198679,48,1,2,738.68
45,0,1,0,1,0,28,61841,0,2,11141,1,2,0,1512793,72,1,2,724.94
50,0,1,3,1,0,27,50034,0,1,11333,2,1,1,1785837,60,1,2,700.13
59,1,0,3,1,0,23,67618,0,2,4923,1,0,0,680716,60,1,2,711.77
53,0,0,0,1,0,33,54869,0,2,1602,0,1,1,283063,48,1,2,700.16
63,1,1,1,2,0,36,68802,0,2,9909,0,2,3,1547588,72,1,2,743.16
59,0,1,0,1,1,33,63130,0,2,7739,1,1,2,1436530,36,1,2,725.31
41,1,1,1,1,0,14,56445,0,2,2497,0,2,4,2017800,12,1,2,733.05
46,0,0,0,2,0,26,63009,0,2,796,1,2,1,1399645,60,1,2,760.34
61,0,1,1,1,1,37,65366,0,2,18144,1,2,2,571314,48,1,2,735.16
57,0,1,0,0,1,34,63928,58720,1,4375,1,2,4,1328937,84,1,2,763.92
59,0,1,2,1,0,36,57210,28609,2,1495,1,0,3,2288400,84,1,2,721.72
48,0,0,1,1,0,28,63727,48432,2,15726,2,1,0,469440,84,1,2,731.07
64,0,0,1,1,0,32,69797,0,2,14696,0,0,1,1309675,12,1,2,773.57
47,0,1,0,1,0,26,58456,0,2,12195,0,1,0,1735159,12,1,2,709.98
47,1,1,2,2,1,24,63904,53591,2,4532,2,1,3,227376,18,1,2,741.05
45,1,0,0,0,0,14,40499,40276,2,8239,0,2,2,623056,60,1,2,714.74
48,1,0,1,2,0,10,56377,33151,0,12254,0,2,2,2158953,36,1,2,705.68
55,0,1,0,2,0,14,50768,0,2,2092,2,2,2,1063998,48,1,2,700.38
45,1,1,1,2,0,25,63119,0,2,3565,1,0,0,546185,84,1,2,722.99
48,1,1,1,1,0,27,61462,0,2,14054,0,2,1,1758045,36,1,2,749.49
33,0,1,2,1,0,15,50875,0,2,13160,1,1,2,852375,48,1,2,715.01
50,0,0,2,1,0,25,58105,33302,1,16754,0,2,1,2314956,18,1,2,722.77
59,1,1,1,1,0,34,60268,0,2,861,1,1,3,781109,72,1,2,714.48
62,1,1,0,1,1,27,54913,55183,2,9624,1,2,3,505272,24,1,2,709.12
63,0,0,0,1,0,37,71283,0,2,17523,1,2,2,894048,48,1,2,718.73
47,1,1,0,1,0,17,64181,21917,2,17661,0,2,2,1864348,18,1,2,737.19
60,1,1,0,1,1,29,54807,0,1,12092,0,2,3,232622,18,1,2,703.53
53,1,0,1,1,0,34,75003,0,2,16351,0,1,1,1032826,18,1,2,784.74
27,1,1,1,1,0,5,44102,51778,2,7637,0,1,1,751011,12,1,2,715.53
53,1,1,2,2,0,21,70248,11916,2,13088,0,2,1,1832750,36,1,2,706.19
32,0,1,0,1,0,9,42671,35024,2,1156,0,2,1,1466840,12,1,2,705.35
47,0,0,1,1,0,10,41998,0,2,5020,2,1,3,1029339,18,1,2,704.89
45,0,0,0,2,0,23,57449,0,2,14747,0,1,1,892480,24,1,2,739.37
41,0,1,2,0,0,21,52705,0,1,16988,0,1,5,152127,36,1,2,703.15
64,0,1,0,0,0,40,67472,0,2,19805,1,2,1,855528,60,1,2,704.57
58,1,1,0,1,0,31,56649,38478,2,4070,1,1,1,2025960,12,1,2,753.93
52,1,1,0,1,0,27,48081,0,2,8364,2,0,4,800505,60,1,2,720.51
38,0,0,3,2,1,19,70568,49961,2,14778,1,1,1,394062,12,1,2,728.91
60,0,0,0,1,0,35,61010,0,2,11544,1,1,3,1856852,18,1,2,727.12
64,1,1,0,1,0,22,56919,0,2,19820,2,0,2,1358290,36,1,2,731.06
60,1,0,1,2,0,25,81608,0,2,10771,2,1,5,1011403,18,1,2,753.03
46,1,1,1,1,0,24,64584,55444,2,5462,2,0,1,703174,72,1,2,727.64
60,1,0,0,1,0,29,53430,15413,2,17735,0,0,3,168732,60,1,2,761.99
60,1,0,0,1,0,25,56897,10083,1,13674,2,1,4,336232,12,1,2,720.14
55,1,1,1,1,1,27,80085,0,2,14654,1,0,2,1466141,72,1,2,709.71
46,1,1,2,1,0,27,60637,0,2,1723,0,2,0,1197464,48,1,2,705.65
62,1,0,0,1,0,33,64204,0,0,13345,2,2,1,2265120,84,1,2,725.63
63,1,1,1,1,0,40,66650,46047,2,21823,0,0,2,1880904,18,1,2,766.47
56,0,1,0,1,0,31,47584,0,2,1435,0,2,3,1454708,24,1,2,762.38
54,1,1,1,1,0,31,70773,42918,1,13931,1,1,1,2062606,72,1,2,700.05
58,1,1,0,0,1,30,50506,0,2,13824,1,2,3,124542,72,1,2,725.24
43,0,1,2,1,0,23,65773,0,2,17527,1,2,2,776389,18,1,2,723.56
61,1,1,0,0,0,36,38851,0,2,2075,0,0,1,403406,36,1,2,727.97
47,0,0,2,1,0,16,54175,0,1,6836,2,2,3,1029340,36,1,2,721.1
61,1,0,2,1,0,37,54709,54860,2,3974,1,1,1,1276910,18,1,2,772.24
49,0,0,1,2,1,12,72268,0,2,6356,2,0,3,121436,12,1,2,727.68
32,0,0,2,1,0,6,43828,55697,2,12897,2,1,3,1753120,24,1,2,701.18
50,1,1,1,1,0,31,54107,0,1,10248,0,2,1,2164280,36,1,2,717.16
54,1,1,1,1,0,32,58638,0,2,10674,2,1,1,2215221,84,1,2,738.57
33,0,1,2,0,0,2,54660,0,2,2337,0,2,4,1343158,24,1,2,727.27
41,0,1,0,1,1,20,57591,0,2,1026,2,0,2,2062712,12,1,2,721.86
52,1,0,0,0,1,29,41825,14152,0,6787,0,1,2,755377,36,1,2,735.6
52,1,0,0,1,1,26,56500,20260,2,13131,1,2,4,271533,60,1,2,713.45
22,0,1,0,2,0,2,33698,0,2,3453,1,0,1,913353,18,1,2,710.44
41,0,1,0,1,0,21,60901,0,1,1664,1,1,3,1446978,72,1,2,730.83
61,1,1,0,2,0,32,53034,14886,2,9345,0,1,0,2076209,60,1,2,763.07
49,1,0,0,2,0,22,70973,0,2,3391,0,1,3,808429,60,1,2,706.07
52,0,0,0,1,0,22,67750,0,2,8965,2,0,0,1462548,18,1,2,748.18
62,1,0,1,1,0,38,62258,0,2,5915,1,0,3,2343036,18,1,2,734.46
39,1,1,2,1,0,19,61111,50861,1,1353,0,2,1,1684887,12,1,2,708.48
62,0,1,2,1,0,30,48283,23383,2,11247,1,1,4,1030464,48,1,2,716.3
37,0,1,0,1,1,17,32312,54069,1,3807,0,0,1,656302,60,1,3,717.86
62,1,1,1,1,0,38,43948,0,1,254,2,0,1,257696,36,1,3,770.05
32,1,1,3,1,0,9,39869,15765,2,7937,1,2,3,1509602,72,1,3,710.07
50,0,1,1,2,0,27,56307,39519,2,11681,1,1,3,1202753,84,1,3,725.79
60,1,0,0,0,1,32,40658,0,2,10466,1,1,3,1130606,24,1,3,734.6
53,1,0,2,1,0,23,58704,0,2,15625,0,2,2,2041733,72,1,3,739.89
41,1,1,1,1,0,18,46548,0,2,1994,0,0,3,1114803,60,1,3,733.11
60,1,0,1,1,0,24,70151,16874,2,19878,0,2,2,2128997,18,1,3,711.43
53,0,0,0,1,1,33,49620,0,1,17321,0,0,3,490260,18,1,3,733.71
58,1,1,0,1,0,18,47720,13322,0,4075,0,1,3,720218,84,1,3,711.39
59,1,1,1,1,0,17,53868,0,2,6306,1,0,3,449695,84,1,3,742.53
50,1,1,0,2,1,21,72454,0,2,16791,1,2,2,2428131,48,1,3,712.43
50,0,1,1,2,0,18,76374,0,2,13919,1,2,1,748247,84,1,3,723.39
43,0,0,0,1,0,20,41283,35377,1,10511,1,0,1,98388,48,1,3,730.13
59,1,0,1,1,1,29,56626,14224,2,4692,1,2,0,1059771,24,1,3,716.58
62,1,1,1,2,1,36,69374,21335,1,12084,1,0,0,323657,36,1,3,783.7
41,1,1,0,1,1,22,54815,52292,1,602,0,0,2,1310867,18,1,3,744.11
47,1,1,0,0,1,26,50830,0,2,6331,0,0,4,318214,36,1,3,754.06
44,1,1,1,1,0,25,60775,0,1,2543,1,1,2,975965,12,1,3,766.64
45,0,1,0,1,1,27,47916,54202,2,1498,1,2,4,69693,84,1,3,719.08
47,0,1,0,1,1,23,57033,49153,0,15174,1,1,5,2281320,36,1,3,710.72
54,1,1,2,1,0,34,54771,22653,2,18110,1,2,3,2190840,84,1,3,716.8
38,0,1,1,2,0,4,34230,0,2,8382,0,0,1,1249200,60,1,3,713.46
42,1,0,1,1,1,25,60917,0,0,8166,1,1,1,1208255,36,1,3,736.76
63,1,0,0,2,0,14,40342,26342,2,4370,0,1,1,1613680,48,1,3,714.16
59,0,1,2,1,0,34,55707,15395,1,5540,2,2,3,2108280,48,1,3,721.12
62,1,1,0,2,0,35,61655,0,2,16416,1,0,2,1508544,72,1,3,721.08
52,0,0,1,2,0,14,54535,14255,2,11863,0,1,4,2181400,72,1,3,712.08
44,1,0,2,2,1,18,63368,0,1,20773,1,0,1,1900304,84,1,3,721.1
49,0,0,0,2,0,4,37410,0,2,1712,1,1,3,619989,24,1,3,748.86
62,0,1,0,1,1,23,53741,39708,2,10826,1,0,3,1846599,84,1,3,727.27
34,1,1,1,1,0,15,53724,0,2,1584,2,2,2,2148960,72,1,3,723.32
57,0,1,1,1,0,38,52146,0,2,10764,1,1,2,1518049,12,1,3,754.51
58,1,0,3,2,0,19,61630,38837,1,3767,1,0,3,1373245,60,1,3,736.07
63,0,1,2,1,0,42,59860,0,2,12228,1,0,5,2062910,48,1,3,715.14
52,1,1,2,2,0,19,61280,0,2,10104,0,2,1,1570952,36,1,3,727.24
34,0,1,0,2,0,14,51841,0,2,2594,0,2,0,1667978,24,1,3,718.79
58,1,0,1,1,0,35,56080,32204,2,13373,2,2,1,72191,72,1,3,800.06
62,0,1,0,2,0,36,69308,39845,1,21039,1,2,2,193980,18,1,3,783.83
48,1,0,0,2,1,14,57271,0,2,14528,2,1,2,2122618,12,1,3,736.2
24,0,1,0,1,0,5,42122,0,2,54,2,0,1,512657,18,1,3,713.12
64,0,0,0,1,0,32,52955,0,2,13473,1,1,2,1472445,72,1,3,734.65
52,1,1,1,1,0,22,53313,28616,2,16265,1,1,5,848320,12,1,3,753.85
55,1,0,0,2,0,31,91950,0,2,8778,1,1,3,2452318,72,1,3,738.2
52,0,1,0,0,0,26,49270,0,2,4601,1,1,1,403348,48,1,3,715.37
53,1,0,1,1,0,21,55356,57235,2,13672,0,0,1,1898128,72,1,3,723.43
53,1,0,1,1,0,32,57533,0,2,2249,0,0,1,400504,36,1,3,761.22
59,1,0,0,2,1,31,63500,29639,2,8185,1,2,3,1996806,60,1,3,721.12
53,0,1,1,2,0,33,60942,11488,0,11320,2,1,0,287023,72,1,3,768.72
58,1,0,1,1,0,23,52763,48650,2,14694,0,1,2,1682544,36,1,3,751.35
61,1,0,1,1,0,35,52252,21715,2,15086,1,2,2,2090080,36,1,3,752.59
40,1,0,2,1,1,22,63447,0,2,8800,1,1,1,178773,60,1,3,715.72
51,0,0,1,1,0,30,65647,0,1,9959,0,2,2,990505,60,1,3,776.84
33,1,0,2,1,1,13,44344,19081,2,13697,1,2,1,721728,60,1,3,716.97
59,0,0,3,2,1,38,53843,0,0,637,1,2,0,2153720,48,1,3,812.22
61,0,0,0,1,1,20,53410,0,2,3990,1,2,2,858384,72,1,3,722.73
50,0,0,0,2,0,29,68819,25442,2,23135,0,2,0,614928,84,1,3,722.64
55,0,0,0,1,0,19,51521,0,2,1288,0,2,0,1773827,12,1,3,729.32
46,1,0,1,1,0,27,55847,0,2,6180,1,0,0,1949991,48,1,3,722.6
46,1,1,1,1,1,24,49339,39979,2,14969,0,1,5,1166822,18,1,3,719.58
64,0,0,2,2,0,45,57880,0,2,10850,0,0,1,488840,36,1,3,746.91
52,0,1,0,1,0,30,51790,36820,1,9388,1,2,2,958577,84,1,3,725.83
57,0,0,3,1,0,17,61066,0,2,1078,0,2,1,1855434,36,1,3,739.74
42,1,1,2,1,1,10,30461,0,1,6725,0,2,2,1218440,12,1,3,712.25
53,1,1,0,1,0,26,53759,33411,0,14741,0,2,0,1949450,18,1,3,717.07
58,1,1,1,1,0,30,54874,14316,2,12763,2,2,0,2074960,60,1,3,719.26
46,1,1,2,2,1,25,71448,0,2,22354,0,1,0,763818,48,1,3,738.63
38,0,1,1,1,0,9,48813,0,2,10911,1,1,1,606450,12,1,3,715.72
42,1,1,0,1,0,22,60920,0,2,11134,0,0,0,1741479,84,1,3,726.97
46,1,0,0,1,0,21,51937,0,2,7671,0,0,1,1276785,12,1,3,747.15
48,0,0,0,1,0,19,44081,32984,1,7257,0,0,0,1230518,84,1,3,712.54
59,1,1,0,1,0,18,38784,0,2,2952,1,0,1,1431360,84,1,3,717.46
63,0,1,2,1,0,36,52546,0,2,9378,0,1,4,1554639,48,1,3,743.49
47,1,0,0,2,0,28,74070,0,2,484,0,2,1,1150723,12,1,3,727.1
50,0,1,1,1,0,26,43948,0,2,2249,1,2,4,1757920,36,1,3,757.74
51,0,0,0,1,0,33,71784,0,0,9192,2,1,0,2351312,36,1,3,769.74
60,1,0,0,1,0,24,63056,0,2,3565,1,2,2,1512042,12,1,3,722.41
36,0,0,0,2,0,3,42923,0,2,10039,1,0,1,676658,84,1,3,749.19
42,1,1,0,1,0,11,47248,0,2,2595,1,2,1,1592107,24,1,3,722.44
62,1,1,2,1,0,23,52811,58452,0,14460,1,0,1,839011,18,1,3,754.59
56,1,1,1,2,0,20,63567,0,2,196,1,2,0,189616,84,1,3,721.84
64,1,0,0,1,1,45,45245,48146,1,10567,0,0,2,440468,60,1,3,721.27
52,1,1,0,1,0,32,53235,0,1,10394,0,1,4,2129400,24,1,3,730.13
50,0,1,0,1,1,21,56708,0,2,5031,0,0,1,175709,60,1,3,719.57
30,0,1,0,1,1,6,34096,13473,1,4698,0,0,5,1363840,18,1,3,724.97
63,0,1,0,1,0,44,53270,0,2,9008,0,1,2,366552,72,1,3,738.26
49,1,0,0,1,0,22,56976,46552,1,6880,1,0,1,1566647,36,1,3,737.84
57,1,1,0,1,0,29,44618,39709,2,2891,1,1,1,1268842,24,1,3,771.17
46,1,1,3,1,1,24,47882,0,2,13984,0,0,5,1071017,36,1,3,713.94
39,1,0,2,1,0,16,50548,0,2,950,0,0,2,1901920,24,1,3,741.96
55,1,1,0,1,0,34,49244,0,2,14545,0,2,0,695316,18,1,3,731.76
33,0,0,3,2,0,12,48419,51506,2,4765,0,1,1,1480148,18,1,3,724.29
46,1,1,1,1,0,27,55724,14277,2,13159,0,2,3,554435,24,1,3,721.11
60,1,1,2,1,0,35,43764,40938,0,6377,0,0,2,627252,48,1,3,736.42
44,1,0,1,1,1,16,55586,0,2,635,1,0,5,427799,18,1,3,742.07
